Subject	Years	Strand	Substrand	CDCode	Content description	Elaboration
Digital technologies	Years 3 and 4	Processes and production skills	Privacy and security	AC9TDI4P08	access their school account using a memorised password and explain why it should be easy to remember, but hard for others to guess	exploring techniques to create an easy to remember and hard to guess password, for example creating a password using 3 unrelated but easy to remember words
Digital technologies	Years 3 and 4	Processes and production skills	Privacy and security	AC9TDI4P09	identify what personal data is stored and shared in their online accounts and discuss any associated risks	identifying the personal data stored in accounts they use at school and at home and who has access to it, for example documents in their school cloud storage are accessible by the teacher, or their nickname in their online gaming accounts is visible to all players
Digital technologies	Years 3 and 4	Processes and production skills	Privacy and security	AC9TDI4P09	identify what personal data is stored and shared in their online accounts and discuss any associated risks	discussing how personal data stored in online accounts forms a person’s digital identity and can reveal detailed information about people, for example looking at photographs of themselves, friends or fictional characters that reveal details about a person’s location, habits or home
Digital technologies	Years 1 and 2	Knowledge and understanding	Digital systems	AC9TDI2K01	identify and explore digital systems and their components for a purpose	exploring digital systems to better understand how they are used to provide communities with essential services, for example looking at the systems and components that allow First Nations Australians in communities classified as remote to watch their favourite television shows
Digital technologies	Years 1 and 2	Knowledge and understanding	Digital systems	AC9TDI2K01	identify and explore digital systems and their components for a purpose	naming and using digital systems that they interact with at home and school, for example using a touchpad to move the cursor on a laptop, or the keyboard to type a simple message on a tablet
Digital technologies	Years 1 and 2	Knowledge and understanding	Digital systems	AC9TDI2K01	identify and explore digital systems and their components for a purpose	using different digital systems to explore what they do and how to use them, for example selecting the camera icon allows them to take photos of things that are a familiar shape
Digital technologies	Years 1 and 2	Knowledge and understanding	Data representation	AC9TDI2K02	represent data as pictures, symbols, numbers and words	recognising that letter combinations represent different phonemes and that words are spelled the same way regardless of the accent of the speaker
Digital technologies	Years 1 and 2	Knowledge and understanding	Data representation	AC9TDI2K02	represent data as pictures, symbols, numbers and words	recognising the equivalence of different representations of numbers, including words, digits and tally marks
Digital technologies	Years 1 and 2	Knowledge and understanding	Data representation	AC9TDI2K02	represent data as pictures, symbols, numbers and words	recognising that pictures in First Nations Australians’ seasonal calendars are used to represent and communicate data, such as how the appearance of a flower can signify a connected event or a resource availability, for example how the Gulumoerrgin Peoples from the Darwin region of the Northern Territory understand that the fruiting of freshwater mangrove signifies it is time to harvest magpie geese
Digital technologies	Years 1 and 2	Processes and production skills	Investigating and defining	AC9TDI2P01	investigate simple problems for known users that can be solved with digital systems	investigating internet-based translation tools and how similar digital tools could promote the use of First Nations Australians’ languages or assist communications, for example responding to cultural stories of Australian First Nations Peoples
Digital technologies	Years 1 and 2	Processes and production skills	Investigating and defining	AC9TDI2P01	investigate simple problems for known users that can be solved with digital systems	investigating familiar and easily understood problems with few complications or steps needed to solve them, for example deciding what to wear by checking the forecast on a weather app
Digital technologies	Years 1 and 2	Processes and production skills	Investigating and defining	AC9TDI2P01	investigate simple problems for known users that can be solved with digital systems	identifying how digital systems are used to solve problems at school, for example taking attendance or borrowing a library book
Digital technologies	Years 1 and 2	Processes and production skills	Investigating and defining	AC9TDI2P01	investigate simple problems for known users that can be solved with digital systems	exploring how a familiar problem could be solved using a robot, for example creating a model robot using cardboard boxes and explaining how it could be used to clean up the classroom floor at the end of the day
Digital technologies	Years 1 and 2	Processes and production skills	Generating and designing	AC9TDI2P02	follow and describe algorithms involving a sequence of steps, branching (decisions) and iteration (repetition)	following a short, ordered sequence of steps and making decisions to solve a simple problem, for example follow a recipe or directions to reach a location
Digital technologies	Years 1 and 2	Processes and production skills	Generating and designing	AC9TDI2P02	follow and describe algorithms involving a sequence of steps, branching (decisions) and iteration (repetition)	describing the steps and decisions (in the correct order) needed to solve a simple problem, for example writing, saying, drawing or photographing the steps needed to make a sandwich
Digital technologies	Years 1 and 2	Processes and production skills	Generating and designing	AC9TDI2P02	follow and describe algorithms involving a sequence of steps, branching (decisions) and iteration (repetition)	rearranging into the correct order a series of mixed-up pictures that describe a story, for example stories authored and published by First Nations Australians
Digital technologies	Years 1 and 2	Processes and production skills	Generating and designing	AC9TDI2P02	follow and describe algorithms involving a sequence of steps, branching (decisions) and iteration (repetition)	identifying the steps needed to solve a problem, and understanding when their order is important, for example socks must be put on before shoes but a jumper can be put on before or after shoes
Digital technologies	Years 1 and 2	Processes and production skills	Generating and designing	AC9TDI2P02	follow and describe algorithms involving a sequence of steps, branching (decisions) and iteration (repetition)	identifying the decisions needed to solve a problem and the next steps to follow in each case, for example if it is raining, take a raincoat, otherwise take a hat
Digital technologies	Years 1 and 2	Processes and production skills	Generating and designing	AC9TDI2P02	follow and describe algorithms involving a sequence of steps, branching (decisions) and iteration (repetition)	following algorithms that repeat a single step a fixed number of times, for example practise spelling a word 5 times or throw and catch a ball with a partner 10 times
Digital technologies	Years 1 and 2	Processes and production skills	Evaluating	AC9TDI2P03	discuss how existing digital systems satisfy identified needs for known users	describing how familiar digital systems meet the needs of individuals, for example how different family members use a tablet for different needs – to play videos, read the news or follow a recipe
Digital technologies	Years 1 and 2	Processes and production skills	Evaluating	AC9TDI2P03	discuss how existing digital systems satisfy identified needs for known users	discussing how we use digital systems to store and access information, and how that information helps us learn about our environment, interactions and leisure activities, for example how interactive versions of stories authored and published by First Nations Australians preserve important cultural expressions
Digital technologies	Years 1 and 2	Processes and production skills	Evaluating	AC9TDI2P03	discuss how existing digital systems satisfy identified needs for known users	sharing ideas about how digital systems are used at school for learning, for example sharing a student’s work with the class on an interactive display screen to provide class feedback on their writing
Digital technologies	Years 1 and 2	Processes and production skills	Evaluating	AC9TDI2P03	discuss how existing digital systems satisfy identified needs for known users	sharing and describing ways that common digital systems can be used to meet communication needs, for example tablets can be used as phones and tools for communication between families living in different locations
Digital technologies	Years 1 and 2	Processes and production skills	Collaborating and managing	AC9TDI2P04	use the basic features of common digital tools to create, locate and communicate content	using familiar digital systems to create content with others, for example using presentation software to retell a story
Digital technologies	Years 1 and 2	Processes and production skills	Collaborating and managing	AC9TDI2P04	use the basic features of common digital tools to create, locate and communicate content	taking, storing safely and presenting photos of class work, for example locating photos they took of their work to show to parents or carers or for the teacher to upload to the class shared folder
Digital technologies	Years 1 and 2	Processes and production skills	Collaborating and managing	AC9TDI2P04	use the basic features of common digital tools to create, locate and communicate content	finding images of (local) Australian flora and fauna or places for use in a story and including First Nations Australians’ names for the items
Digital technologies	Years 1 and 2	Processes and production skills	Collaborating and managing	AC9TDI2P04	use the basic features of common digital tools to create, locate and communicate content	using a camera or drawing app to create a picture, for example making a card for a family member that includes a photo and short message
Digital technologies	Years 1 and 2	Processes and production skills	Collaborating and managing	AC9TDI2P04	use the basic features of common digital tools to create, locate and communicate content	creating individual pieces of work that contribute to a group task, for example each student contributes a recipe and photo of their favourite food to create a class recipe book
Digital technologies	Years 1 and 2	Processes and production skills	Collaborating and managing	AC9TDI2P05	use the basic features of common digital tools to share content and collaborate demonstrating agreed behaviours, guided by trusted adults	taking and sharing photos of class work with parents or carers using classroom messaging software with teacher guidance
Digital technologies	Years 1 and 2	Processes and production skills	Collaborating and managing	AC9TDI2P05	use the basic features of common digital tools to share content and collaborate demonstrating agreed behaviours, guided by trusted adults	applying agreed standards of behaviour when sharing content with classmates, for example using language that is considered by all students and the teacher to be appropriate when they are writing messages to each other
Digital technologies	Years 1 and 2	Processes and production skills	Collaborating and managing	AC9TDI2P05	use the basic features of common digital tools to share content and collaborate demonstrating agreed behaviours, guided by trusted adults	considering the need for online safety when sharing information, for example recognising that personal information such as a photo can be used inappropriately
Digital technologies	Years 1 and 2	Processes and production skills	Privacy and security	AC9TDI2P06	access their school account with a recorded username and password	using username and password recorded in a private place to access a digital system, for example logging into a school computer using details given on a card by the teacher
Digital technologies	Years 1 and 2	Processes and production skills	Privacy and security	AC9TDI2P07	discuss that some websites and apps store their personal data online	sharing examples of the data collected by apps and websites they commonly use, for example usernames and email addresses used by school websites and games to log in
Digital technologies	Years 1 and 2	Processes and production skills	Privacy and security	AC9TDI2P07	discuss that some websites and apps store their personal data online	discussing the importance of asking permission from a parent or carer before entering personal details online such as address, phone number and date of birth
Digital technologies	Foundation year	Knowledge and understanding	Digital systems	AC9TDIFK01	recognise and explore digital systems (hardware and software) for a purpose	recognising digital systems that they interact with at home and school, for example smartphone, laptop or programmable toy
Digital technologies	Foundation year	Knowledge and understanding	Digital systems	AC9TDIFK02	recognise and explore digital systems (hardware and software) for a purpose	playing with (with guidance) and using different digital systems to explore what they do for a purpose, for example the class speaking to an expert via videoconference
Digital technologies	Foundation year	Knowledge and understanding	Digital systems	AC9TDIFK03	recognise and explore digital systems (hardware and software) for a purpose	recording, with permission, audio or video of local community members’ stories to share in class, for example sharing cultural stories of First Nations Australians
Digital technologies	Foundation year	Knowledge and understanding	Digital systems	AC9TDIFK04	recognise and explore digital systems (hardware and software) for a purpose	taking photos, with permission, to share with others, for example close-up photos of First Nations Australians’ material culture, such as woven mats or baskets revealing intricate detail
Digital technologies	Foundation year	Knowledge and understanding	Digital systems	AC9TDIFK05	recognise and explore digital systems (hardware and software) for a purpose	making a model of a digital system, using it in a role-play scenario and describing its features, for example a cardboard box with a keyboard and screen with app icons
Digital technologies	Foundation year	Knowledge and understanding	Data representation	AC9TDIFK02	represent data as objects, pictures and symbols	drawing a picture representing each of their family members and their interests, for example drawing one family member with a surfboard and another with a skateboard
Digital technologies	Foundation year	Knowledge and understanding	Data representation	AC9TDIFK03	represent data as objects, pictures and symbols	using coloured blocks to represent an attribute of people, for example representing students and their sports houses with different coloured blocks
Digital technologies	Foundation year	Knowledge and understanding	Data representation	AC9TDIFK04	represent data as objects, pictures and symbols	using a symbol to represent an idea, but knowing that the symbol is not the data itself, for example the symbols and colour on both the Australian Aboriginal flag and the Torres Strait Islander flag
Digital technologies	Foundation year	Processes and production skills	Privacy and security	AC9TDIFP01	identify some data that is personal and owned by them	listing things that contain personal and public data, for example photos of themselves with their family (private) and photos of local community sites (public)
Digital technologies	Foundation year	Processes and production skills	Privacy and security	AC9TDIFP01	identify some data that is personal and owned by them	identifying apps and websites they use where their personal data could be made visible, for example photos of themselves on parents’ or carers’ social media, or their username being shown to others in online games
